pp,group,block,trial_type,mean,response_action,correct,rt,att_correct,fast_outliers_crit_fix,slow_outliers_crit_fix,rt_ms,rt_log,fast_outliers_tukey,slow_outliers_tukey,n_trials_pre,n_trials_post
101,control,1,test,450,a,1,2.7364,20,0.0,0.0,2736.4,3.437179581752512,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,6.1529,20,0.0,0.0,6152.9,3.7890798567748307,0.0,2.0,352.0,350.0
101,control,1,test,550,a,0,3.2705,20,0.0,0.0,3270.5,3.514614153467984,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,2.9068,20,0.0,0.0,2906.8,3.4634151515212226,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,4.0587,20,0.0,0.0,4058.7,3.608386951499694,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,4.3379,20,0.0,0.0,4337.900000000001,3.637279536163936,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,2.8975,20,0.0,0.0,2897.5,3.4620234446356335,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,7.2343,20,0.0,0.0,7234.3,3.859396514605731,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,4.9953,20,0.0,0.0,4995.3,3.6985615755314036,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,5.3192,20,0.0,0.0,5319.200000000001,3.7258463199433343,0.0,2.0,352.0,350.0
101,control,2,test,550,a,0,1.9658,20,0.0,0.0,1965.8,3.2935393307317566,0.0,2.0,352.0,350.0
101,control,1,test,450,l,0,7.6935,20,0.0,0.0,7693.5,3.8861239581214346,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,7.2647,20,0.0,0.0,7264.700000000001,3.8612176845618174,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,3.2155,20,0.0,0.0,3215.5,3.507248513918787,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,5.1769,20,0.0,0.0,5176.9,3.7140697759790275,0.0,2.0,352.0,350.0
101,control,1,test,550,a,0,5.3982,20,0.0,0.0,5398.2,3.732248970862833,0.0,2.0,352.0,350.0
101,control,2,test,550,a,0,7.4945,20,0.0,0.0,7494.5,3.8747426639375546,0.0,2.0,352.0,350.0
101,control,2,test,550,a,0,10.1001,20,0.0,0.0,10100.099999999999,4.004325673706721,0.0,2.0,352.0,350.0
101,control,2,test,550,a,0,5.5518,20,0.0,0.0,5551.8,3.744433812551107,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,2.9499,20,0.0,0.0,2949.9,3.4698072938817903,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,4.2134,20,0.0,0.0,4213.4,3.6246326909204707,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,3.4919,20,0.0,0.0,3491.8999999999996,3.543061798014619,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,7.5612,20,0.0,0.0,7561.200000000001,3.8785907256627516,0.0,2.0,352.0,350.0
101,control,2,test,450,l,0,3.2867,20,0.0,0.0,3286.7000000000003,3.516760064808563,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,3.9257,20,0.0,0.0,3925.7,3.593917107968336,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,3.2986,20,0.0,0.0,3298.6,3.5183296546404774,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,7.1471,20,0.0,0.0,7147.1,3.8541298586569757,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,3.4142,20,0.0,0.0,3414.2000000000003,3.5332889580066826,0.0,2.0,352.0,350.0
101,control,1,test,550,a,0,4.4847,20,0.0,0.0,4484.7,3.651733396610382,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,7.5762,20,0.0,0.0,7576.2,3.8794514308513284,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,6.5952,20,0.0,0.0,6595.2,3.819227970099119,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,2.2818,20,0.0,0.0,2281.8,3.3582775757952263,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,4.2683,20,0.0,0.0,4268.3,3.630254936470747,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,2.2033,20,0.0,0.0,2203.3,3.3430736344518013,0.0,2.0,352.0,350.0
101,control,2,test,450,l,0,4.5812,20,0.0,0.0,4581.2,3.660979252046847,0.0,2.0,352.0,350.0
