pp,group,random_slider.response,educated_slider.response,bias,bias_select,comment,age,mothertongue,gender,handedness,datastorage,duration_que,duration_study
117,guess,2,10,10,low numbers,I didn not understand the significance of holding down the A and L keys while answering the questions,29,English,Cis male,right-handed,1,11.0833333333333,78.7333333333333
120,control,1,1,5,high numbers,no,23,English,Cis male,right-handed,1,8.43333333333333,105.833333333333
121,guess,3,8,8,high numbers,No,33,English,Cis female,right-handed,1,4.15,40.1
122,control,2,1,8,high numbers,"NO, it was clear to understand,",25,English,Cis female,right-handed,1,8.21666666666667,91.8
125,guess,1,9,7,high numbers,No further comments,31,English,Cis female,right-handed,1,2.61666666666667,47.6166666666667
130,control,10,9,9,high numbers,"No, the instructions of the task was clear, but i'm not sure if my answers I chose were right or not.",32,English,Prefer not to answer,right-handed,1,6.53333333333333,47.3666666666667
131,guess,5,9,10,low numbers,not at all so far its straight forward,25,English,Cis male,right-handed,1,4.9,40.65
132,control,2,4,8,high numbers,no,35,English,Nonbinary woman,right-handed,1,3.31666666666667,77.7
133,guess,7,9,9,high numbers,,32,English,Cis male,right-handed,1,15.05,63.5333333333333
135,guess,0,10,10,high numbers,"No, all clear",28,English,Cis male,left-handed,1,8.68333333333333,98.4333333333333
139,guess,1,9,8,high numbers,,34,English,Cis female,left-handed,1,4.68333333333333,53.3
140,control,4,7,6,low numbers,"Interesting study, was fun!",25,English,Cis male,left-handed,1,4.18333333333333,45.4666666666667
142,control,1,7,5,high numbers,"no, it was a very fun study and i'd love to engage in more",26,English,Cis male,left-handed,1,13.4833333333333,48.0
143,guess,6,8,9,high numbers,,22,English,Cis female,right-handed,1,10.8166666666667,80.4833333333333
144,control,2,7,6,high numbers,The study was clear and straightforward.,22,English,Cis female,right-handed,1,10.8166666666667,74.0333333333333
146,control,6,6,6,low numbers,,30,English,Cis female,right-handed,1,2.65,79.9833333333333
149,guess,3,6,9,low numbers,Nothing to say/add.,24,English,Cis female,right-handed,1,5.08333333333333,66.1333333333333
152,control,4,6,7,high numbers,NO,25,English,Cis male,right-handed,1,10.15,104.783333333333
155,guess,0,3,10,high numbers,No I understood most of what was given,22,English,Cis male,right-handed,1,6.45,60.75
156,control,1,3,2,im not sure honestly,,33,English,Cis male,right-handed,1,6.13333333333333,103.466666666667
157,guess,5,8,7,high numbers,The study was good but alittle challenging,24,English,Cis female,right-handed,1,6.51666666666667,52.0833333333333
160,control,1,8,10,low numbers,,24,English,Cis male,right-handed,1,3.75,35.2666666666667
161,guess,1,9,4,high numbers,Maybe explain the part when you meant at first glance a bit more.,26,English,Cis male,right-handed,1,9.61666666666667,111.466666666667
162,control,0,2,8,high numbers,"My previous open ended questionnaire, my answer spewed over into this question as well. Kindly refer to my previous answer.

Thank you",34,English,Cis male,mixed-handed,1,20.4,112.016666666667
164,control,9,7,10,high numbers,no,24,English,Cis male,right-handed,1,7.15,47.3166666666667
166,control,4,4,9,high numbers,,24,English,Cis male,right-handed,1,3.33333333333333,43.0166666666667
170,control,1,7,9,high numbers,"My only comment is that I enjoyed it, there were no issues on my end",20,English,Cis female,right-handed,1,7.1,58.1833333333333
172,control,1,7,5,high numbers,,30,English,Cis female,right-handed,1,5.06666666666667,74.8166666666667
174,control,2,6,9,low numbers,,27,English,Cis male,right-handed,1,7.0,107.5
176,control,6,6,7,high numbers,I really like this study. I really enjoy the study.,26,English,Trans* woman,mixed-handed,1,7.06666666666667,46.1666666666667
180,control,3,0,9,high numbers,I like this study,33,English,Cis male,right-handed,1,5.86666666666667,62.25
183,guess,5,8,8,high numbers,NO please,32,English,Cis female,right-handed,1,11.4,61.0333333333333
189,guess,4,2,8,low numbers,Not at all,24,English,Cis female,ambidextrous,1,5.96666666666667,63.3166666666667
190,control,0,3,9,100s and 800s,"Nothing, All good",26,English,Cis male,right-handed,1,5.43333333333333,58.1666666666667
191,guess,4,7,9,low numbers,I did not misunderstand anything.  Thank you for the opportunity and good luck with your study!,30,English,Cis male,right-handed,1,3.4,46.5333333333333
192,control,1,9,8,high numbers,,24,English,Cis female,right-handed,1,5.26666666666667,60.45
194,control,0,4,4,high numbers,,30,English,Cis male,right-handed,1,6.9,6830.1
195,guess,8,8,9,high numbers,,26,English,Cis female,right-handed,1,6.43333333333333,189.9
197,guess,1,10,8,high numbers,No please,23,English,Cis female,right-handed,1,9.55,66.0166666666667
199,guess,0,10,10,high numbers,,30,English,Cis female,right-handed,1,5.5,35.2333333333333
206,control,1,3,3,high numbers,,28,English,Cis female,right-handed,1,14.75,97.5666666666667
210,control,5,8,7,high numbers,No,27,English,Cis female,right-handed,1,3.83333333333333,69.2666666666667
212,control,0,10,9,high numbers,I understood everything.,28,English,Cis female,right-handed,1,7.9,59.6833333333333
217,guess,3,9,9,low numbers,No thanks,27,English,Cis male,ambidextrous,1,8.8,52.9
218,control,8,4,7,high numbers,none,31,English,Cis male,right-handed,1,8.73333333333333,49.6833333333333
224,control,0,6,10,high numbers,,25,English,Cis female,right-handed,1,1.88333333333333,43.2666666666667
225,guess,0,10,10,low numbers,The breaks were definitely nice. I found myself needing a longer one on the last one.,28,English,Cis female,right-handed,1,7.2,100.983333333333
226,control,2,4,8,low numbers,no,24,English,Cis female,right-handed,1,2.73333333333333,89.3166666666667
227,guess,0,10,9,low numbers,"At first I was confused, because normally this test is just based off of one number, not several.",33,English,Cis female,right-handed,1,5.66666666666667,35.8
228,control,4,8,7,high numbers,,28,English,Cis female,ambidextrous,1,1.56666666666667,65.2166666666667
231,guess,2,10,9,high numbers,,25,English,Cis female,left-handed,1,10.6333333333333,41.0166666666667
233,guess,4,5,7,low numbers,,27,English,Cis female,right-handed,1,6.96666666666667,83.8166666666667
234,control,0,2,9,low numbers,,27,English,Cis male,right-handed,1,6.43333333333333,65.85
236,control,2,8,5,low numbers,"No, I found the study easy to understand.",22,English,Cis male,right-handed,1,5.63333333333333,55.8
237,guess,0,10,10,high numbers,,30,English,Cis female,right-handed,1,12.1666666666667,63.7333333333333
239,guess,2,10,8,high numbers,No,29,English,Cis male,right-handed,1,5.28333333333333,38.9
242,control,1,3,7,high numbers,No,35,English,Cis male,right-handed,1,2.75,74.8
244,control,0,9,2,high numbers,,34,English,Cis female,right-handed,1,7.06666666666667,39.2333333333333
245,guess,1,8,6,high numbers,No,32,English,Cis male,right-handed,1,4.36666666666667,66.6
246,control,9,8,4,high numbers,No,30,English,Cis female,right-handed,1,6.06666666666667,50.6666666666667
247,guess,10,10,8,high numbers,NO,35,English,Cis male,right-handed,1,6.2,54.0833333333333
253,guess,5,10,9,high numbers,No further comments,27,English,Cis male,right-handed,1,17.4333333333333,127.85
255,guess,1,10,8,high numbers,,26,English,Cis female,right-handed,1,5.01666666666667,68.8333333333333
257,guess,3,9,9,low numbers,no,21,English,Trans* man,right-handed,1,4.06666666666667,35.65
260,control,0,1,8,low numbers,none,31,English,Cis female,right-handed,1,6.71666666666667,107.55
264,control,1,3,2,high numbers,I just wanted to clarify in my explanation of my strategy that I mean the first digit of each number when I was talking about checking to see if they were below or above 500,30,English,Cis male,right-handed,1,6.85,67.7666666666667
268,control,5,6,5,high numbers,"The study was explained properly, and I was able to perform the task as instructed.",28,English,Cis female,right-handed,1,4.35,89.1666666666667
271,guess,6,7,7,high numbers,,30,English,Cis male,right-handed,1,8.15,46.3666666666667
272,control,6,5,6,low numbers,no,23,English,Cis male,right-handed,1,4.48333333333333,117.933333333333
273,guess,1,10,5,high numbers,incredibly tedious,28,English,Cis female,right-handed,1,2.91666666666667,44.2
275,guess,1,9,10,low numbers,"Twice in the last of the 4 blocks, my finger slipped and I hit A before I could scan the numbers.",31,English,Nonbinary,left-handed,1,6.41666666666667,46.3166666666667
279,guess,1,10,9,high numbers,No,26,English,Cis female,right-handed,1,6.55,69.9666666666667
280,control,2,9,10,high numbers,it was fun and educative,22,English,Cis female,right-handed,1,5.7,78.7
281,guess,5,10,5,low numbers,I did not find anything about this study to be unclear and I did not misunderstand the task during any point in this study. I do not have any further comments about this study.,27,English,Cis male,right-handed,1,10.8833333333333,59.1833333333333
284,control,2,7,8,high numbers,,34,English,Cis female,right-handed,1,5.1,58.6666666666667
285,guess,5,5,6,high numbers,no,28,English,Cis male,right-handed,1,16.4666666666667,59.25
286,control,3,8,8,low numbers,,22,English,Cis female,right-handed,1,3.15,54.1833333333333
288,control,0,7,10,high numbers,,27,English,Cis female,right-handed,1,2.96666666666667,56.1333333333333
290,control,5,6,5,low numbers,no,24,English,Cis male,right-handed,1,5.2,61.6333333333333
294,control,0,8,10,high numbers,,34,English,Cis female,right-handed,1,4.56666666666667,45.8
297,guess,7,10,9,high numbers,at first i was not so sure i was doing the right thing but it initially grew on me,25,English,Cis male,mixed-handed,1,12.0833333333333,77.4666666666667
303,guess,8,6,8,low numbers,Not really. The instructions were very clear,29,English,Cis male,ambidextrous,1,8.26666666666667,133.55
304,control,0,8,7,high numbers,,24,English,Cis male,right-handed,1,7.98333333333333,51.7833333333333
