pp,group,block,trial_type,mean,response_action,correct,rt,att_correct,fast_outliers_crit_fix,slow_outliers_crit_fix,rt_ms,rt_log,fast_outliers_tukey,slow_outliers_tukey,n_trials_pre,n_trials_post
117,guess,1,test,450,l,0,4.2252,12,0.0,,4225.2,3.625847271117809,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,6.9314,12,0.0,,6931.4,3.840820962009722,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,7.4136,12,0.0,,7413.599999999999,3.870029150013057,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,12.4315,12,0.0,,12431.5,4.094523534306922,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,14.1235,12,0.0,,14123.5,4.149942334274476,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,9.9579,12,0.0,,9957.9,3.9981677606554222,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,5.6948,12,0.0,,5694.8,3.7554784763656732,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,17.1458,12,0.0,,17145.800000000003,4.234157753520952,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,5.7445,12,0.0,,5744.5,3.759252233774365,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,10.2521,12,0.0,,10252.1,4.010812833684308,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,10.6512,12,0.0,,10651.199999999999,4.027398539607596,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,13.1125,12,0.0,,13112.5,4.117685501201614,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,17.5462,12,0.0,,17546.199999999997,4.244183075347482,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,4.8665,12,0.0,,4866.5,3.687216727711397,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,4.5056,12,0.0,,4505.6,3.6537526331259995,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,2.5815,12,0.0,,2581.5,3.4118721293832417,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,7.5958,12,0.0,,7595.799999999999,3.880573521093958,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,4.536,12,0.0,,4536.0,3.65667304588485,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,13.2711,12,0.0,,13271.1,4.122906921668582,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,3.2831,12,0.0,,3283.1,3.5162841111139804,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,6.1698,12,0.0,,6169.8,3.790271086188157,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,4.0011,12,0.0,,4001.1,3.602179405891736,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,5.0258,12,0.0,,5025.8,3.701205201999371,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,8.7803,12,0.0,,8780.300000000001,3.9435093548717903,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,5.8458,12,0.0,,5845.799999999999,3.7668439529334603,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,6.2325,12,0.0,,6232.5,3.794662287175811,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,7.6874,12,0.0,,7687.400000000001,3.885779479387615,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,10.1837,12,0.0,,10183.7,4.007905597021913,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,4.1107,12,0.0,,4110.7,3.6139157830078625,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,2.7745,12,0.0,,2774.5,3.4431847291501847,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,12.9387,12,0.0,,12938.7,4.111890643319667,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,2.1066,12,0.0,,2106.6,3.323582079848995,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,4.1,12,0.0,,4100.0,3.6127838567197355,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,5.8387,12,0.0,,5838.7,3.766316161209207,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,3.1815,12,0.0,,3181.5,3.502631927572243,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,11.1015,12,0.0,,11101.5,4.04538166326508,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,5.6304,12,0.0,,5630.4,3.7505392494911165,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,12.3585,12,0.0,,12358.5,4.0919657619133725,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,3.243,12,0.0,,3243.0,3.5109469486729727,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,4.86,12,0.0,,4860.0,3.6866362692622934,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,5.0747,12,0.0,,5074.7,3.705410373246214,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,5.7525,12,0.0,,5752.5,3.759856627340681,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,16.5573,12,0.0,,16557.300000000003,4.218989517792852,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,2.8075,12,0.0,,2807.5,3.4483197649334953,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,1.8675,12,0.0,,1867.5,3.2712606104874364,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,4.0431,12,0.0,,4043.1,3.606714483087596,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,3.1751,12,0.0,,3175.1,3.5017574079789475,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,9.5679,12,0.0,,9567.9,3.9808166275896593,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,7.5629,12,0.0,,7562.9,3.8786883580008538,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,8.4262,12,0.0,,8426.199999999999,3.925631763106228,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,2.55,12,0.0,,2550.0,3.406540180433955,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,7.9187,12,0.0,,7918.700000000001,3.8986538900279712,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,6.4075,12,0.0,,6407.5,3.8066886148562817,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,3.4857,12,0.0,,3485.7,3.5422900064254077,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,2.253,12,0.0,,2253.0,3.3527611917238307,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,2.417,12,0.0,,2417.0,3.3832766504076504,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,1.4936,12,0.0,,1493.6000000000001,3.174234304941022,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,4.4648,12,0.0,,4464.8,3.649802009508604,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,6.4733,12,0.0,,6473.3,3.8111257345207066,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,7.5222,12,0.0,,7522.2,3.876344876246932,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,4.9255,12,0.0,,4925.5,3.6924503234060153,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,10.9305,12,0.0,,10930.5,4.038640028580474,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,5.4563,12,0.0,,5456.299999999999,3.7368982408204765,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,6.1575,12,0.0,,6157.5,3.789404420511141,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,2.2489,12,0.0,,2248.9,3.351970144446861,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,2.3639,12,0.0,,2363.9,3.3736291006496684,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,11.1097,12,0.0,,11109.7,4.045702331658809,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,10.0726,12,0.0,,10072.6,4.003141587724114,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,6.0429,12,0.0,,6042.900000000001,3.781245407452572,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,2.7817,12,0.0,,2781.7,3.4443102905122576,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,4.1242,12,0.0,,4124.2,3.615339717908828,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,5.139,12,0.0,,5139.0,3.710878617685173,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,5.7901,12,0.0,,5790.099999999999,3.7626860644309175,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,6.1959,12,0.0,,6195.9,3.7921043997587858,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,2.6592,12,0.0,,2659.2,3.424751002104017,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,3.8417,12,0.0,,3841.7,3.5845234476075136,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,1.6009,12,0.0,,1600.9,3.2043642046210055,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,1.6615,12,0.0,,1661.5,3.2205003456147296,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,3.5375,12,0.0,,3537.5,3.5486964485323464,3.0,0.0,352.0,349.0
117,guess,1,test,550,a,0,4.9521,12,0.0,,4952.099999999999,3.694789406005941,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,1.6133,12,0.0,,1613.3,3.2077151338055665,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,3.1354,12,0.0,,3135.4,3.4962929540060426,3.0,0.0,352.0,349.0
117,guess,1,test,450,a,1,1.6067,12,0.0,,1606.7,3.2059347936846816,3.0,0.0,352.0,349.0
117,guess,1,test,550,l,1,1.4449,12,0.0,,1444.9,3.1598377910711073,3.0,0.0,352.0,349.0
117,guess,1,test,450,l,0,2.4336,12,0.0,,2433.6000000000004,3.386249196708923,3.0,0.0,352.0,349.0
117,guess,2,test,550,a,0,1.6157,12,0.0,,1615.6999999999998,3.208360724978379,3.0,0.0,352.0,349.0
117,guess,2,test,450,l,0,2.7215,12,0.0,,2721.5,3.4348083386530925,3.0,0.0,352.0,349.0
117,guess,2,test,550,a,0,2.9685,12,0.0,,2968.5,3.4725370532620774,3.0,0.0,352.0,349.0
117,guess,2,test,550,a,0,1.0277,12,0.0,,1027.7,3.011866356527724,3.0,0.0,352.0,349.0
117,guess,2,test,450,l,0,2.5822,12,0.0,,2582.2,3.4119898767888595,3.0,0.0,352.0,349.0
117,guess,2,test,550,a,0,1.2456,12,0.0,,1245.6000000000001,3.095378599560064,3.0,0.0,352.0,349.0
117,guess,2,test,450,l,0,2.184,12,0.0,,2184.0,3.3392526340327,3.0,0.0,352.0,349.0
117,guess,2,test,550,l,1,1.3569,12,0.0,,1356.9,3.132547842465581,3.0,0.0,352.0,349.0
117,guess,2,test,550,a,0,3.9602,12,0.0,,3960.2,3.597717119436383,3.0,0.0,352.0,349.0
117,guess,2,test,450,l,0,2.508,12,0.0,,2508.0,3.399327532158679,3.0,0.0,352.0,349.0
117,guess,2,test,450,a,1,1.437,12,0.0,,1437.0,3.157456768134226,3.0,0.0,352.0,349.0
117,guess,2,test,450,a,1,3.2746,12,0.0,,3274.6,3.515158257487391,3.0,0.0,352.0,349.0
117,guess,2,test,450,a,1,3.4711,12,0.0,,3471.1,3.540467125576511,3.0,0.0,352.0,349.0
117,guess,2,test,450,l,0,3.343,12,0.0,,3343.0,3.5241363765925686,3.0,0.0,352.0,349.0
117,guess,2,test,550,l,1,3.0706,12,0.0,,3070.6000000000004,3.4872232455843326,3.0,0.0,352.0,349.0
117,guess,2,test,550,l,1,2.2584,12,0.0,,2258.4,3.353800865138863,3.0,0.0,352.0,349.0
117,guess,2,test,550,l,1,3.3852,12,0.0,,3385.2000000000003,3.529584332202991,3.0,0.0,352.0,349.0
