RT,mean,half
-1.9001,0,1
-2.1413,0,1
-3.0499,0,1
1.4467,1,1
2.1798,1,1
4.3801,1,1
-3.5974,1,1
-2.2844,0,1
7.1389,1,1
2.2456,1,1
7.8242,1,1
-9.3894,0,1
8.9975,1,1
-5.4306,0,1
3.5977,1,1
9.1135,1,1
-9.836,0,1
9.0406,0,1
-2.6926,0,1
-3.9855,0,1
-2.1899,0,1
3.9727,1,1
3.6747,0,1
5.92,1,1
8.1517,1,1
1.8114,1,1
7.3936,1,1
-9.8977,0,1
3.5745,1,1
-1.9427,0,1
2.0529,1,1
-1.6051,1,1
1.0437,1,1
-1.3424,0,1
-5.0602,1,1
3.287,0,1
-2.2075,1,1
8.4818,1,1
7.6718,0,1
3.0561,1,1
-1.3262,0,1
1.8413,1,1
3.0688,1,1
3.0603,1,1
-1.9713,0,1
1.0244,0,1
4.5998,0,1
-4.6414,0,1
-9.5291,1,1
4.1791,1,1
1.554,1,1
-1.6616,0,1
-2.9644,0,1
-8.795,0,1
3.0462,1,1
1.5032,1,1
-1.205,1,1
-1.7422,0,1
2.7133,0,1
-1.1572,1,1
-4.094,1,1
-2.0817,0,1
-3.3186,0,1
-4.3561,0,1
6.1911,1,1
-3.3005,0,1
-4.9687,0,1
4.3388,0,1
-3.7118,1,1
-6.9083,1,1
-6.9138,1,1
-4.0257,0,1
-4.9322,1,1
5.6069,1,1
5.8703,0,1
-2.4646,1,1
1.2948,0,1
-0.9861,0,1
0.7269,0,1
-0.8797,1,1
1.2424,1,1
1.1606,0,1
3.6236,1,1
0.6041,1,1
1.8194,1,1
-1.0787,0,1
-0.7022,1,1
-1.8694,0,1
-2.5136,0,1
-1.6017,0,1
2.1557,1,1
-2.384,1,1
-0.9798,1,1
1.3669,1,1
9.9996,1,1
0.7818,0,1
5.06,1,1
1.0082,0,1
0.9301,0,1
1.2099,1,1
1.4053,0,1
1.2454,1,1
1.6895,0,1
1.208,1,1
1.5534,0,1
1.2277,1,1
1.1659,0,1
1.463,1,1
1.3798,0,1
1.3275,1,1
1.2207,0,1
1.171,0,1
1.0433,1,1
1.1383,1,1
1.0917,1,1
1.7641,1,1
1.1118,1,1
0.9801,1,1
0.5966,0,1
1.0044,0,1
1.3274,0,1
1.6094,0,1
1.0591,1,1
1.1577,0,1
1.3557,0,1
1.4055,1,1
1.2391,0,1
1.6555,0,1
1.163,0,1
1.1172,1,1
1.064,0,1
1.5926,0,1
0.961,0,1
0.843,1,1
0.6502,0,1
0.994,1,1
1.1808,1,1
1.0935,0,1
1.1894,1,1
1.3131,1,1
1.2874,1,1
1.3062,0,1
0.993,1,1
0.9489,1,1
0.5754,0,1
1.1293,1,1
1.0782,1,1
1.0392,1,1
1.1273,1,1
1.2118,1,1
1.2706,0,1
1.1729,0,1
0.9289,0,1
1.23,0,1
0.9623,0,1
1.0937,0,1
1.0627,0,1
1.2995,0,1
1.4322,1,1
0.6772,0,2
1.271,0,2
1.9732,0,2
-1.4093,1,2
0.8317,0,2
1.0704,1,2
-1.0242,1,2
1.1442,1,2
-0.6203,0,2
1.3824,1,2
-0.6652,1,2
0.8584,0,2
0.9094,1,2
-0.6041,0,2
0.8549,0,2
1.6995,0,2
-0.7144,0,2
0.7604,1,2
-0.7804,1,2
1.5572,0,2
-0.811,0,2
-2.4259,0,2
0.7547,0,2
-1.1418,0,2
-1.853,0,2
-1.5029,1,2
-1.6249,0,2
-3.6517,1,2
1.4262,1,2
-2.3574,0,2
1.0444,1,2
1.9728,0,2
1.2426,1,2
2.4611,1,2
-3.0558,0,2
-1.1944,0,2
1.8687,0,2
-7.1252,1,2
0.8277,1,2
-1.4962,1,2
0.9414,1,2
-2.062,1,2
-1.4045,0,2
2.6763,1,2
-1.6551,0,2
-1.2612,1,2
2.246,1,2
-2.2212,1,2
1.6775,0,2
-0.7277,1,2
-3.111,0,2
-1.7727,1,2
0.6477,0,2
0.591,1,2
-0.7343,0,2
0.6444,1,2
-0.7054,0,2
0.6089,0,2
0.8547,1,2
-0.6246,1,2
0.7456,0,2
-0.9901,0,2
0.6114,1,2
-1.0115,0,2
-1.856,1,2
2.4457,1,2
-0.8913,0,2
0.5723,0,2
0.5486,0,2
-1.0106,1,2
0.7006,1,2
1.843,0,2
-1.6144,1,2
-0.9283,1,2
-1.891,0,2
-1.3642,0,2
0.705,0,2
0.7614,0,2
-0.995,1,2
-2.5589,1,2
1.9447,1,2
-1.6456,0,2
0.9247,0,2
0.7533,0,2
0.9797,0,2
1.1438,0,2
-1.2914,0,2
-0.9918,0,2
0.8524,1,2
-0.6446,0,2
1.9931,1,2
-0.6274,1,2
1.3085,1,2
-1.2045,0,2
0.5609,1,2
0.9407,0,2
-1.0938,0,2
1.1004,1,2
-0.7774,0,2
1.2863,1,2
-0.7786,0,2
2.8935,0,2
-1.1111,1,2
-2.9727,0,2
3.291,1,2
-0.7763,0,2
1.124,1,2
0.6776,1,2
0.9576,0,2
-0.89,0,2
0.798,0,2
-0.5569,1,2
1.5965,0,2
0.6633,1,2
-0.8593,1,2
0.8939,0,2
1.4291,0,2
0.9111,1,2
-0.744,1,2
-0.5274,0,2
-1.7114,1,2
0.5746,1,2
-0.734,0,2
0.677,1,2
-0.8246,0,2
0.6773,0,2
1.8414,1,2
2.4965,1,2
-0.9283,1,2
-2.1425,0,2
1.2278,1,2
-3.1237,0,2
0.7579,1,2
-0.5906,1,2
2.8793,1,2
