RT,mean,half
-0.8737,0,1
1.8782,0,1
3.2601,0,1
-2.1833,1,1
0.9755,1,1
1.6008,1,1
1.6502,1,1
4.581,0,1
-3.3284,1,1
2.8552,1,1
-2.9996,0,1
2.9853,1,1
2.3494,0,1
1.2103,1,1
1.0028,0,1
-2.573,1,1
8.9216,1,1
0.6589,0,1
-1.3437,0,1
-0.6474,0,1
-0.7842,0,1
0.9728,1,1
-1.326,0,1
0.8676,1,1
-1.5322,1,1
1.3198,1,1
1.2627,1,1
-1.0328,0,1
1.2151,1,1
1.1103,0,1
-1.4733,1,1
-2.1454,0,1
-1.8214,1,1
-1.7337,1,1
2.3442,0,1
0.9763,1,1
1.9387,0,1
6.4441,1,1
1.5396,1,1
1.1433,0,1
-0.5292,1,1
-1.2497,0,1
0.8379,1,1
14.25,1,1
3.1699,0,1
4.908,0,1
-1.2253,0,1
0.9159,0,1
0.7187,1,1
1.3169,1,1
-0.5498,1,1
-1.2247,1,1
-1.9867,0,1
1.3042,0,1
1.5879,0,1
1.52,1,1
1.4242,1,1
1.8369,1,1
-0.7901,0,1
-0.8403,0,1
-0.6401,0,1
-0.9197,1,1
0.8177,0,1
3.258,0,1
-4.9514,0,1
14.1218,1,1
-2.881,0,1
-1.0706,0,1
2.7573,0,1
1.8946,1,1
2.2081,1,1
1.3763,1,1
2.2733,0,1
1.7003,1,1
2.8339,0,1
-8.8913,0,1
-15.7678,0,1
12.6219,1,1
9.4908,0,1
18.3515,1,1
5.2351,0,1
14.7705,1,1
2.2067,1,1
4.9783,0,1
1.9338,1,1
-5.3381,0,1
3.102,1,1
0.6172,0,1
-1.0104,0,1
0.7026,0,1
0.5935,0,1
0.5447,0,1
1.2452,1,1
16.1107,1,1
1.4794,1,1
-1.209,1,1
0.7259,1,1
0.6079,1,1
-0.9894,0,1
2.4821,0,1
-8.6884,1,1
-7.7013,0,1
-12.2901,0,1
1.2859,0,1
1.0537,1,1
0.8691,0,1
0.843,1,1
1.7534,0,1
-1.637,0,1
0.7536,1,1
1.3645,0,1
2.0072,1,1
3.1178,0,1
2.1568,1,1
2.4243,0,1
14.9835,0,1
1.8254,1,1
5.1632,1,1
1.5899,1,1
-15.3795,1,1
1.8518,0,1
0.7195,0,1
-3.643,0,1
0.8684,0,1
4.1142,1,1
-8.3694,0,1
-10.275,1,1
-2.0008,0,1
0.8072,0,1
2.8373,0,1
1.1958,1,1
-2.2369,0,1
2.57,0,1
-0.9421,0,1
3.8849,1,1
1.2044,0,1
-1.5902,1,1
1.372,1,1
1.9467,0,1
2.3023,1,1
1.7523,1,1
0.8924,1,1
1.7914,0,1
1.3902,1,1
1.4209,1,1
-16.6937,0,1
-2.5039,1,1
0.7782,1,1
4.7016,1,1
1.7264,1,1
10.5135,1,1
-1.0258,0,1
-1.4273,0,1
-1.8753,0,1
1.8467,0,1
4.7059,0,1
1.0083,0,1
1.7107,0,1
-0.9206,0,1
0.6125,1,1
0.592,0,2
0.6574,1,2
-0.9721,0,2
-0.6932,1,2
-0.6581,0,2
1.4692,1,2
-2.8504,0,2
-2.2103,1,2
7.4683,1,2
1.3345,1,2
-1.0739,0,2
1.6767,1,2
4.7361,1,2
-1.5799,0,2
3.3767,1,2
1.8643,0,2
1.8063,0,2
11.4707,0,2
-1.6528,0,2
2.1942,1,2
-0.742,1,2
1.7392,0,2
1.9097,0,2
-1.9285,0,2
2.4981,0,2
1.4657,0,2
-1.7019,0,2
1.3205,1,2
2.0653,0,2
-3.2298,1,2
1.182,1,2
18.3378,0,2
2.2999,1,2
1.325,0,2
1.8923,1,2
0.8169,1,2
2.0332,0,2
-1.1156,0,2
1.6751,0,2
6.4159,1,2
1.2405,1,2
3.8322,1,2
1.6481,1,2
4.2216,1,2
2.0481,1,2
0.7989,0,2
0.9172,1,2
0.7415,1,2
1.1991,1,2
0.7966,0,2
1.7327,1,2
1.0831,1,2
-2.2471,0,2
1.7961,1,2
-4.9278,0,2
2.5118,1,2
3.3978,1,2
-2.1027,0,2
2.2723,1,2
-4.1799,0,2
-9.3362,0,2
2.0058,1,2
1.6654,1,2
1.2629,0,2
-2.4858,0,2
1.3295,1,2
2.5037,0,2
1.0891,1,2
1.3346,1,2
2.1318,0,2
1.434,0,2
1.5974,0,2
1.2929,0,2
5.2598,1,2
1.6697,1,2
1.488,0,2
6.524,1,2
1.1748,1,2
5.6861,0,2
-2.2829,0,2
-0.5539,0,2
1.4459,0,2
0.9605,1,2
1.2763,1,2
2.7934,1,2
4.3227,0,2
-1.7688,0,2
2.0384,0,2
-3.6082,0,2
1.855,0,2
2.4274,0,2
2.5689,1,2
0.906,0,2
1.3916,1,2
1.3038,1,2
1.4051,1,2
0.7562,1,2
0.552,0,2
0.9248,1,2
0.9727,0,2
0.7452,1,2
1.7763,1,2
1.3178,0,2
5.1674,1,2
-2.6501,0,2
15.0642,0,2
7.5834,0,2
-3.0217,0,2
2.2195,1,2
1.9613,0,2
1.3192,1,2
4.6987,1,2
7.6953,0,2
5.4409,0,2
1.899,0,2
4.7637,1,2
-2.1273,0,2
6.7019,1,2
12.0467,1,2
1.9201,1,2
-2.0998,0,2
3.5025,0,2
3.0765,1,2
2.9533,1,2
2.3739,0,2
3.7624,1,2
2.3119,1,2
2.7895,0,2
2.1806,1,2
-2.8122,0,2
-3.5688,0,2
3.8103,1,2
-2.4986,1,2
2.5806,1,2
4.8179,0,2
-3.3671,1,2
2.0341,0,2
2.4971,1,2
1.5837,1,2
18.5753,1,2
2.3884,1,2
1.1276,1,2
12.9971,0,2
8.4608,1,2
1.033,0,2
6.6942,1,2
16.8599,1,2
3.7647,0,2
1.7291,0,2
1.7716,0,2
