RT,mean,half
2.8308,0,1
-1.6424,0,1
-3.0464,1,1
-1.2411,1,1
-1.8564,1,1
1.6754,0,1
1.3717,0,1
1.3087,1,1
-1.4743,0,1
1.9097,0,1
-2.4289,0,1
1.632,0,1
-1.3523,0,1
1.39,0,1
5.8936,0,1
-3.0409,0,1
-2.6264,0,1
4.3746,0,1
-7.0091,1,1
-1.7951,0,1
1.1743,1,1
2.9625,1,1
1.3732,0,1
-1.7383,0,1
1.2688,0,1
-2.7444,1,1
1.6992,1,1
-2.1399,1,1
2.0559,0,1
-1.9054,1,1
6.2882,1,1
-5.5184,0,1
-2.2731,0,1
-3.8079,0,1
-2.819,0,1
2.2334,0,1
2.4242,1,1
-2.6066,1,1
1.3593,1,1
-3.1377,0,1
-3.5278,1,1
3.3919,1,1
-4.8287,0,1
-2.5014,0,1
2.471,0,1
-3.8575,0,1
4.0689,1,1
5.3737,0,1
5.0927,1,1
-4.5911,1,1
4.0265,1,1
-4.3225,1,1
3.7394,1,1
-4.4765,1,1
4.9742,0,1
2.7145,0,1
-3.1749,1,1
2.0223,0,1
-1.8613,1,1
1.7568,0,1
-1.7314,1,1
-1.3456,1,1
-1.5277,0,1
-2.315,1,1
5.8602,0,1
-2.2236,1,1
-4.377,1,1
3.8939,1,1
-3.8963,1,1
3.5997,0,1
-2.6317,1,1
-2.0991,0,1
2.6248,0,1
-6.4052,1,1
3.3265,1,1
-3.3421,1,1
4.1241,1,1
-3.1857,0,1
2.1507,0,1
-3.1104,0,1
2.5352,1,1
-2.4786,1,1
3.2592,1,1
-2.6429,0,1
3.0793,0,1
-2.524,0,1
-3.2986,0,1
2.581,1,1
-4.3928,0,1
3.7532,0,1
-3.5826,0,1
4.3456,1,1
-3.9919,0,1
3.8847,0,1
-3.9632,0,1
3.1608,1,1
2.6248,0,1
-2.5614,1,1
2.709,0,1
-2.789,0,1
2.4215,1,1
-5.1243,0,1
3.827,1,1
-3.6046,0,1
-3.1406,1,1
3.8726,0,1
-3.6096,1,1
2.9122,0,1
-3.7806,1,1
7.6412,1,1
-6.1284,1,1
3.7217,1,1
-2.9349,1,1
2.5497,0,1
-3.0637,0,1
1.78,0,1
-3.0683,0,1
-6.0549,0,1
-4.7422,1,1
3.6888,1,1
-7.0724,0,1
8.0616,0,2
4.8012,0,2
4.719,0,2
-4.1263,1,2
2.9215,1,2
1.9942,1,2
1.7587,1,2
-2.5814,1,2
2.6806,0,2
3.8212,1,2
2.3253,0,2
3.0837,1,2
3.0336,1,2
-3.5034,0,1
3.6875,1,1
-5.1792,1,1
3.5384,0,1
-2.5445,1,1
3.2421,1,1
-4.1694,1,1
3.2659,0,1
-3.321,1,1
3.4983,1,1
-4.415,0,1
-4.2324,0,2
3.309,1,2
2.0672,1,2
3.1295,0,2
-2.8233,0,2
2.8384,1,2
-3.3448,0,2
-2.6883,1,2
2.5165,1,2
3.1092,0,2
3.2562,0,2
-3.1036,0,2
3.1292,0,2
3.3872,1,2
3.2663,1,2
3.3366,0,2
6.0946,1,2
4.0552,1,2
3.616,0,2
4.8976,0,2
-2.0519,0,2
-2.6493,0,2
-2.3215,1,2
3.3159,1,2
3.0979,1,2
3.3136,0,2
3.6349,1,2
3.5149,0,2
3.9226,1,2
3.4913,1,2
-2.9008,0,2
-3.1181,1,2
-2.6219,0,2
3.665,1,2
5.1176,1,2
-5.2148,0,2
-4.5075,1,2
-5.3693,0,2
3.962,1,2
4.6592,0,2
5.7754,1,2
4.2225,0,2
7.9012,0,2
-6.9261,1,2
3.0259,1,2
-2.9062,0,2
3.1909,1,2
-4.8909,0,2
3.676,0,2
-2.9848,0,1
-3.2812,0,1
3.1027,1,1
-3.44,0,2
6.6104,1,2
1.8745,1,1
-2.3832,1,1
2.9949,0,1
-2.3794,0,1
-2.2766,0,1
-2.8585,1,1
3.2236,0,1
-2.4637,0,1
3.0568,0,2
3.4061,0,2
4.771,0,2
-4.2073,0,2
4.9043,0,2
7.6359,0,2
-4.9563,1,2
5.8695,0,2
4.6457,1,2
4.8402,1,2
8.5028,1,2
-2.46,1,1
2.6821,0,1
-1.8592,1,1
2.6202,0,1
-3.0557,1,1
4.4965,1,1
-5.0239,0,1
4.6478,1,1
4.0781,0,2
-4.347,1,2
-3.9356,0,2
2.5378,1,2
-4.7809,1,2
3.5057,1,2
4.5566,1,2
4.4089,1,2
2.912,0,2
-4.1765,0,2
2.043,0,2
2.4384,1,2
2.7428,1,2
2.1101,1,2
-2.2979,0,2
-3.6399,0,2
9.4916,1,2
-6.4069,0,2
3.8922,0,2
-3.8905,0,2
4.2114,0,2
7.6514,0,2
-4.805,0,2
4.5773,1,2
6.5964,1,2
-5.6264,0,2
4.0055,0,2
4.5567,1,2
5.9682,1,2
4.4898,1,2
-4.5053,0,2
5.7956,1,2
-3.9839,0,2
5.2113,1,2
-5.6846,1,2
-3.6918,1,2
-2.8424,1,2
3.9305,0,2
-5.0734,1,2
5.8616,0,2
3.8406,1,2
-2.1823,0,2
3.1494,1,2
-3.5726,0,2
5.2126,1,2
-4.3312,0,2
3.52,1,2
6.2358,0,2
-4.8245,1,2
5.6937,1,2
2.3153,0,1
-3.7885,1,1
-4.4229,1,1
-5.3109,1,1
5.5865,0,1
-2.1817,1,1
-3.8394,1,1
3.3898,0,1
-3.8446,1,1
2.1819,0,1
-2.1647,0,1
2.8451,0,1
-6.1108,0,2
3.4112,0,2
-2.6616,0,2
4.2832,0,2
-4.8802,0,2
3.8919,1,2
4.3062,1,2
3.7912,1,2
2.8302,0,2
3.9938,1,2
4.4464,0,2
2.2902,1,2
3.0405,1,2
3.1431,1,2
5.1947,1,2
-2.6943,0,2
4.2227,1,2
6.5898,0,2
-4.9473,0,2
2.8087,1,2
-3.5892,0,2
2.9895,0,2
-2.2073,0,2
3.7617,0,2
-2.0475,0,2
2.3158,0,2
3.2961,1,2
-4.8807,1,2
7.0438,0,2
-1.6031,1,2
3.7031,1,2
-4.7409,0,2
3.7327,1,2
-5.9982,0,2
4.637,0,2
3.2609,1,2
5.4382,1,2
-4.4675,1,2
4.132,1,2
-2.1835,0,2
3.9269,0,2
3.5603,1,2
-3.143,0,2
4.9126,0,2
7.4057,0,2
-2.3592,1,2
-3.9712,1,2
6.4035,1,2
-2.6934,0,2
3.586,0,2
3.2117,1,2
