RT,mean,half
1.289599999,1,1
3.9847,1,1
2.825200001,1,1
1.9391,1,1
2.227400001,1,1
-4.2103,0,1
-2.1619,0,1
1.5797,0,1
1.9526,1,1
2.9682,1,1
-1.8686,1,1
-2.2243,0,1
1.995099999,1,1
3.0233,0,1
-2.147,0,1
1.563,1,1
-1.543400001,1,1
1.5128,1,1
1.5988,0,1
3.3065,0,1
1.8854,0,1
1.902599999,1,1
-2.1101,0,1
3.1098,0,1
-1.1292,0,1
1.4855,0,1
2.0829,1,1
0.961,0,2
2.0826,0,2
-2.9682,0,2
1.2005,1,2
1.227099999,1,2
1.4715,0,2
1.0752,0,2
1.051200001,0,2
-1.5375,0,2
1.654,0,2
1.533,0,2
1.9305,1,2
2.447,0,2
-1.629700001,1,2
1.7153,1,2
-1.206700001,0,2
1.0626,1,2
1.309,0,2
1.7132,1,2
1.0863,1,2
2.6864,0,2
2.3574,1,1
1.3575,1,1
-2.092099999,1,1
2.1585,1,1
2.1729,1,1
-2.354900001,1,1
1.1388,1,1
-1.862,0,1
2.1732,0,1
1.556200001,1,1
-1.544,0,1
1.3065,1,1
-1.7082,0,2
1.952099999,1,2
-2.4153,1,2
-2.0714,0,2
1.752099999,1,2
2.0436,0,2
1.2782,1,2
1.7638,1,2
-2.6539,0,2
-1.2499,1,2
2.2233,0,2
0.985400001,0,2
4.0208,1,2
-2.1489,1,2
2.671299999,0,2
-1.735200001,0,2
1.0139,1,2
-1.7753,0,2
-1.782900001,1,1
-1.7316,1,1
2.6761,1,1
1.499700001,0,1
1.531400001,0,1
-2.085599999,0,1
1.0419,0,2
0.923400001,0,2
1.085599999,1,2
0.8565,1,2
2.0699,1,2
1.8415,1,2
1.201599999,1,2
0.9653,0,2
1.2984,1,2
1.4182,0,2
1.1199,1,2
1.0465,1,2
-2.098,1,2
1.1044,1,1
0.970400001,1,1
-2.424,0,1
2.1085,1,1
1.6157,1,1
1.672599999,1,1
1.2738,0,1
1.3925,1,1
1.0555,1,1
2.260400001,0,1
1.8783,1,1
1.0544,1,1
1.1136,1,1
1.1507,1,1
1.8028,1,1
1.6267,0,1
-1.9018,0,1
-1.732799999,0,1
2.0779,1,2
1.333,0,2
1.2245,0,2
1.4333,1,2
-1.675900001,0,2
1.0675,1,2
-1.9055,0,2
1.5077,1,2
-1.812,1,2
2.0707,0,2
1.1617,0,2
0.9436,0,2
2.2207,1,2
-2.0396,0,2
-1.776,0,2
1.2163,1,2
1.5042,1,2
1.8154,1,2
-1.751,0,2
