pp,symbol,cond,accuracy,meanRT_correct,meanRT_incorrect,meanRTlog_correct,meanRTlog_incorrect,0.1_correct,0.25_correct,0.3_correct,0.5_correct,0.7_correct,0.75_correct,0.9_correct,0.1_incorrect,0.25_incorrect,0.3_incorrect,0.5_incorrect,0.7_incorrect,0.75_incorrect,0.9_incorrect,skew_correct,stdRT_correct,skew_incorrect,stdRT_incorrect,n_trials,fast_errors,origin,model,study
117,0,guess,0.5371428571428571,3.6976148936170214,4.263895061728395,1.1405170651017802,1.213908358306216,1.51833,2.1452,2.22288,3.0304,4.00634,4.481450000000001,6.403880000000001,1.5496,1.9558,2.1845,3.1377,4.536,4.9283,9.8341,2.5651627953123057,2.51791054586538,2.156739533011937,3.468879382340255,175,0,empirical,none,1
117,1,guess,0.5114942528735632,3.9060640449438204,4.076615294117647,1.1510426865068908,1.1889693015117593,1.40676,1.8626,2.25516,2.9187,4.13038,4.9877,7.61412,1.3677,2.0905,2.3467000000000002,2.9932,4.8941,5.0727,7.6709400000000025,1.6088281114342025,2.800704753322537,1.4775229366367297,2.8661998039758014,174,0,empirical,none,1
120,0,control,0.9939759036144579,12.20108606060606,19.9109,2.4329849050408567,2.991267320469831,7.41464,8.8185,9.15048,10.7012,13.192039999999999,14.2635,20.49102,19.9109,19.9109,19.9109,19.9109,19.9109,19.9109,19.9109,1.061915321336589,4.810315824057973,,,166,0,empirical,none,1
120,1,control,1.0,9.415023529411766,,2.1812018189402793,,5.86375,6.9704999999999995,7.222059999999999,8.4133,10.33889,10.94915,15.09066,,,,,,,,1.2566307282466533,3.51758071484914,,,170,0,empirical,none,1
121,0,guess,0.8685714285714285,2.2681065789473687,1.7089608695652174,0.6450742470145174,0.3766779395125706,0.8968400000000001,1.2763,1.3681,1.7899500000000002,2.4545299999999997,2.655575,3.7792,0.858,0.97475,1.006,1.4167,1.88572,1.9005,2.6293,2.3270002145000683,1.5770055806958438,2.446766671386397,1.1736159654283425,175,1,empirical,none,1
121,1,guess,0.5229885057471264,2.9061725274725276,2.3850638554216865,0.8954516723093003,0.720121589329972,1.0459,1.56355,1.8706,2.5315,3.2872,3.7353,5.2601,0.9372600000000001,1.54995,1.6051,1.9774,2.6504199999999996,3.0394,4.11516,1.2621071553646783,1.7320957737226848,1.3923623577547095,1.3821080674610984,174,1,empirical,none,1
122,0,control,0.631578947368421,5.367111111111111,4.706603174603175,1.5042319107218076,1.3780231982507039,2.0802,3.176,3.3934,4.2225,6.1613,6.6659999999999995,10.1005,1.8712,2.207,2.6452,4.073,5.6522,6.15,8.961800000000002,1.598743095112106,3.4452143167694977,1.031035513008252,2.833121210185449,171,1,empirical,none,1
122,1,control,0.8342857142857143,5.105876712328767,5.524310344827587,1.4665561000463256,1.5700123598408555,2.278,2.9194999999999998,3.0605,3.9935,6.095000000000001,6.9985,9.193,2.8116000000000003,3.204,3.4052000000000002,4.931,6.133,6.416,10.424,1.6193137131474042,3.1505787884032843,1.416547837258201,3.1902472822141665,175,0,empirical,none,1
125,0,guess,0.72,3.5258119047619045,4.283216326530613,1.1111317843221737,1.3665475039215578,1.4425,2.0227000000000004,2.2032,2.8830999999999998,4.1933,4.466049999999999,5.7054,2.10384,2.9065,3.10732,4.1681,5.496259999999999,5.6643,6.41106,1.5807085152936133,2.0811912199548472,0.14327565225631722,1.6972387276037184,175,0,empirical,none,1
125,1,guess,0.9371428571428572,3.289770731707317,3.1549545454545456,1.0794278988104962,0.92675459841613,1.68601,2.17855,2.23354,2.9164,3.5629999999999997,3.8573,5.079800000000001,1.1766,1.3415,1.3853,2.7669,3.2689,3.31655,4.7673,1.987577159050503,1.7403977085139732,2.15376505569812,2.512301694607412,175,1,empirical,none,1
