LFM_st0,LFM_all,file,pp,condition,ans,att,acc
0.008373874,0.99162614,pp152_control_ans0_att20_acc60.csv,152,control,0,20,60
0.84351873,0.1564813,pp218_control_ans0_att18_acc66.csv,218,control,0,18,66
0.9090192,0.09098086,pp340_control_ans0_att20_acc72.csv,340,control,0,20,72
0.28339705,0.716603,pp290_control_ans0_att16_acc59.csv,290,control,0,16,59
0.93712837,0.06287164,pp237_guess_ans0_att20_acc75.csv,237,guess,0,20,75
0.9311477,0.068852365,pp190_control_ans0_att20_acc77.csv,190,control,0,20,77
0.9804231,0.019576842,pp350_control_ans0_att20_acc99.csv,350,control,0,20,99
0.893009,0.10699101,pp319_guess_ans0_att20_acc62.csv,319,guess,0,20,62
0.9270582,0.07294176,pp325_guess_ans0_att20_acc75.csv,325,guess,0,20,75
0.8793567,0.12064329,pp427_guess_ans0_att18_acc55.csv,427,guess,0,18,55
0.2533712,0.7466288,pp372_control_ans0_att20_acc88.csv,372,control,0,20,88
0.7064973,0.2935027,pp192_control_ans0_att20_acc83.csv,192,control,0,20,83
0.9939985,0.0060014273,pp422_control_ans0_att20_acc91.csv,422,control,0,20,91
0.7611146,0.23888543,pp451_control_ans0_att20_acc68.csv,451,control,0,20,68
0.004541668,0.99545836,pp297_guess_ans0_att19_acc69.csv,297,guess,0,19,69
0.62652874,0.37347132,pp321_guess_ans0_att16_acc61.csv,321,guess,0,16,61
0.92047805,0.079522,pp135_guess_ans0_att20_acc92.csv,135,guess,0,20,92
0.9252239,0.07477611,pp388_control_ans0_att20_acc75.csv,388,control,0,20,75
0.88917625,0.110823706,pp436_control_ans0_att20_acc70.csv,436,control,0,20,70
0.9815544,0.018445622,pp245_guess_ans0_att20_acc98.csv,245,guess,0,20,98
0.9825461,0.017453946,pp242_control_ans0_att20_acc86.csv,242,control,0,20,86
0.54887843,0.4511216,pp403_guess_ans0_att20_acc68.csv,403,guess,0,20,68
0.5347595,0.46524045,pp288_control_ans0_att20_acc79.csv,288,control,0,20,79
0.92081076,0.07918925,pp352_control_ans0_att20_acc99.csv,352,control,0,20,99
0.93931586,0.060684133,pp429_guess_ans0_att20_acc75.csv,429,guess,0,20,75
0.8973966,0.10260341,pp260_control_ans0_att20_acc91.csv,260,control,0,20,91
0.008868692,0.99113125,pp443_guess_ans0_att19_acc64.csv,443,guess,0,19,64
0.9656294,0.03437057,pp143_guess_ans0_att19_acc82.csv,143,guess,0,19,82
0.91204196,0.087958075,pp224_control_ans0_att20_acc82.csv,224,control,0,20,82
0.9858418,0.014158149,pp308_control_ans0_att20_acc97.csv,308,control,0,20,97
0.84836257,0.15163742,pp197_guess_ans0_att20_acc74.csv,197,guess,0,20,74
0.9837382,0.016261838,pp306_control_ans0_att20_acc97.csv,306,control,0,20,97
0.2589673,0.74103266,pp253_guess_ans0_att19_acc63.csv,253,guess,0,19,63
0.48921508,0.51078486,pp355_guess_ans0_att16_acc61.csv,355,guess,0,16,61
0.870586,0.12941402,pp176_control_ans0_att20_acc70.csv,176,control,0,20,70
0.98831844,0.011681492,pp264_control_ans0_att20_acc94.csv,264,control,0,20,94
