LFM_st0,LFM_all,file,pp,condition,ans,att,acc
0.84792805,0.15207194,pp160_control_ans0_att18_acc59.csv,160,control,0,18,59
0.25896794,0.7410321,pp253_guess_ans0_att19_acc63.csv,253,guess,0,19,63
0.88917637,0.11082364,pp436_control_ans0_att20_acc70.csv,436,control,0,20,70
0.048752032,0.951248,pp255_guess_ans0_att19_acc76.csv,255,guess,0,19,76
0.9664051,0.033594888,pp183_guess_ans0_att19_acc80.csv,183,guess,0,19,80
0.0046782107,0.9953218,pp228_control_ans0_att20_acc76.csv,228,control,0,20,76
0.3681484,0.63185155,pp271_guess_ans0_att19_acc65.csv,271,guess,0,19,65
0.9371285,0.06287159,pp237_guess_ans0_att20_acc75.csv,237,guess,0,20,75
0.82403284,0.17596717,pp335_guess_ans0_att20_acc73.csv,335,guess,0,20,73
0.99030614,0.0096938545,pp279_guess_ans0_att20_acc77.csv,279,guess,0,20,77
0.89739704,0.10260302,pp260_control_ans0_att20_acc91.csv,260,control,0,20,91
0.0051631685,0.9948368,pp280_control_ans0_att20_acc71.csv,280,control,0,20,71
0.9939985,0.006001442,pp422_control_ans0_att20_acc91.csv,422,control,0,20,91
0.9090192,0.09098087,pp340_control_ans0_att20_acc72.csv,340,control,0,20,72
0.9825461,0.017453937,pp242_control_ans0_att20_acc86.csv,242,control,0,20,86
0.95225567,0.04774428,pp120_control_ans0_att20_acc100.csv,120,control,0,20,100
0.0037838232,0.9962161,pp419_guess_ans0_att20_acc66.csv,419,guess,0,20,66
0.9790699,0.020930123,pp303_guess_ans0_att20_acc92.csv,303,guess,0,20,92
0.0044898186,0.9955102,pp140_control_ans0_att19_acc65.csv,140,control,0,19,65
0.8855199,0.114480145,pp144_control_ans0_att20_acc90.csv,144,control,0,20,90
0.91204184,0.08795815,pp224_control_ans0_att20_acc82.csv,224,control,0,20,82
0.62837434,0.37162557,pp365_guess_ans0_att20_acc62.csv,365,guess,0,20,62
0.92047805,0.07952195,pp135_guess_ans0_att20_acc92.csv,135,guess,0,20,92
0.9907259,0.009274056,pp149_guess_ans0_att19_acc92.csv,149,guess,0,19,92
0.92422277,0.075777225,pp426_control_ans0_att20_acc85.csv,426,control,0,20,85
0.008868688,0.99113125,pp443_guess_ans0_att19_acc64.csv,443,guess,0,19,64
0.84351873,0.15648127,pp218_control_ans0_att18_acc66.csv,218,control,0,18,66
0.92705846,0.07294156,pp325_guess_ans0_att20_acc75.csv,325,guess,0,20,75
0.60080737,0.39919263,pp349_guess_ans0_att20_acc82.csv,349,guess,0,20,82
0.73115087,0.26884907,pp304_control_ans0_att19_acc69.csv,304,control,0,19,69
0.8871551,0.11284484,pp225_guess_ans0_att20_acc93.csv,225,guess,0,20,93
0.98569864,0.014301348,pp174_control_ans0_att20_acc92.csv,174,control,0,20,92
0.004742183,0.9952578,pp210_control_ans0_att20_acc81.csv,210,control,0,20,81
0.43899283,0.5610072,pp246_control_ans0_att19_acc68.csv,246,control,0,19,68
0.46778902,0.53221095,pp191_guess_ans0_att16_acc61.csv,191,guess,0,16,61
0.93643737,0.06356263,pp313_guess_ans0_att20_acc86.csv,313,guess,0,20,86
0.036863104,0.96313685,pp212_control_ans0_att20_acc64.csv,212,control,0,20,64
0.9815544,0.01844562,pp245_guess_ans0_att20_acc98.csv,245,guess,0,20,98
0.17002879,0.82997125,pp189_guess_ans0_att16_acc61.csv,189,guess,0,16,61
0.9477166,0.0522834,pp440_control_ans0_att20_acc93.csv,440,control,0,20,93
0.004732922,0.99526715,pp247_guess_ans0_att17_acc61.csv,247,guess,0,17,61
0.6727305,0.3272695,pp133_guess_ans0_att20_acc70.csv,133,guess,0,20,70
0.9470404,0.05295962,pp161_guess_ans0_att20_acc97.csv,161,guess,0,20,97
0.056634743,0.9433653,pp206_control_ans0_att20_acc79.csv,206,control,0,20,79
0.19114019,0.80885977,pp125_guess_ans0_att20_acc83.csv,125,guess,0,20,83
0.91547775,0.084522195,pp166_control_ans0_att20_acc80.csv,166,control,0,20,80
0.8361288,0.16387127,pp180_control_ans0_att20_acc72.csv,180,control,0,20,72
0.98831844,0.011681492,pp264_control_ans0_att20_acc94.csv,264,control,0,20,94
0.05708872,0.94291127,pp132_control_ans0_att18_acc69.csv,132,control,0,18,69
0.21479718,0.7852028,pp199_guess_ans0_att20_acc68.csv,199,guess,0,20,68
0.21223858,0.7877614,pp330_control_ans0_att18_acc59.csv,330,control,0,18,59
0.008373878,0.99162614,pp152_control_ans0_att20_acc60.csv,152,control,0,20,60
0.009311112,0.9906889,pp379_guess_ans0_att19_acc74.csv,379,guess,0,19,74
0.9021899,0.09781009,pp341_guess_ans0_att20_acc69.csv,341,guess,0,20,69
0.004541662,0.99545836,pp297_guess_ans0_att19_acc69.csv,297,guess,0,19,69
0.003457842,0.99654216,pp146_control_ans0_att17_acc61.csv,146,control,0,17,61
0.01421496,0.98578507,pp408_control_ans0_att19_acc70.csv,408,control,0,19,70
0.8021678,0.19783221,pp236_control_ans0_att20_acc81.csv,236,control,0,20,81
0.041334584,0.95866543,pp139_guess_ans0_att20_acc77.csv,139,guess,0,20,77
0.9368674,0.0631326,pp311_guess_ans0_att20_acc77.csv,311,guess,0,20,77
0.22356509,0.7764349,pp375_guess_ans0_att20_acc64.csv,375,guess,0,20,64
0.6428923,0.3571077,pp441_guess_ans0_att18_acc64.csv,441,guess,0,18,64
0.48921502,0.510785,pp355_guess_ans0_att16_acc61.csv,355,guess,0,16,61
0.38771263,0.6122873,pp327_guess_ans0_att17_acc63.csv,327,guess,0,17,63
0.004572674,0.99542725,pp162_control_ans0_att20_acc81.csv,162,control,0,20,81
0.9524113,0.04758869,pp130_control_ans0_att20_acc69.csv,130,control,0,20,69
0.9160379,0.08396214,pp121_guess_ans0_att20_acc70.csv,121,guess,0,20,70
0.9840349,0.015965113,pp234_control_ans0_att20_acc96.csv,234,control,0,20,96
0.020370167,0.97962976,pp172_control_ans0_att20_acc78.csv,172,control,0,20,78
0.9074292,0.09257074,pp275_guess_ans0_att20_acc86.csv,275,guess,0,20,86
0.005243563,0.99475646,pp157_guess_ans0_att14_acc59.csv,157,guess,0,14,59
0.005219854,0.9947802,pp117_guess_ans0_att12_acc52.csv,117,guess,0,12,52
0.25524327,0.74475676,pp334_control_ans0_att20_acc76.csv,334,control,0,20,76
