t0,st0,zr,v0,v1,a,alpha,file,pp,cond,ans,att,acc
1.0943508,1.137433,0.5341893,0.008427281,0.31090602,1.7948622,1.2709584,pp412_guess_ans0_att18_acc57.csv,412,guess,0,18,57
0.8518819,1.0337502,0.7775806,-0.08368408,0.24816076,4.2377424,1.2405008,pp377_control_ans0_att18_acc61.csv,377,control,0,18,61
0.8089766,1.2789292,0.39867496,-0.0973968,0.08738953,6.85254,1.04466,pp375_control_ans0_att19_acc66.csv,375,control,0,19,66
0.92921513,1.3329934,0.55216265,-0.28805992,-0.30061224,6.192891,1.0404882,pp288_guess_ans0_att18_acc59.csv,288,guess,0,18,59
2.3126385,1.4070678,0.4405688,-0.4185442,0.56113315,5.605578,1.4284487,pp439_control_ans0_att20_acc84.csv,439,control,0,20,84
1.7819963,1.1961147,0.48407257,-0.29615632,0.2865558,3.4668882,1.5762968,pp361_control_ans0_att20_acc69.csv,361,control,0,20,69
5.5677404,1.4374223,0.7851234,-0.6114208,-0.4539782,7.830815,1.748758,pp183_control_ans0_att20_acc88.csv,183,control,0,20,88
1.008138,1.2070439,0.486097,-0.23242217,0.3686755,5.018882,1.1033453,pp234_guess_ans0_att19_acc72.csv,234,guess,0,19,72
1.1650615,1.2583764,0.44635797,-0.69987607,0.09035548,1.3822585,1.779404,pp438_guess_ans0_att20_acc64.csv,438,guess,0,20,64
0.687392,0.27395624,0.65749145,-0.4518754,0.1972114,1.3285125,1.4712524,pp402_guess_ans0_att18_acc65.csv,402,guess,0,18,65
0.7146697,0.3936478,0.51585245,-0.21014695,0.3368426,1.666585,1.5474116,pp142_guess_ans0_att20_acc64.csv,142,guess,0,20,64
2.8864243,1.4185243,0.5986102,-0.47469574,0.31235453,5.424261,1.4123216,pp259_control_ans0_att20_acc82.csv,259,control,0,20,82
0.8727575,1.416221,0.25828078,-0.09061187,-0.26464334,7.7393446,1.5000087,pp420_guess_ans0_att20_acc69.csv,420,guess,0,20,69
0.69657886,0.4542477,0.52281487,-0.30520788,0.4105961,2.3660786,1.379479,pp313_control_ans0_att20_acc71.csv,313,control,0,20,71
0.6699652,0.504322,0.51005334,-0.22735886,0.34783322,2.3664956,1.6637998,pp141_control_ans0_att20_acc69.csv,141,control,0,20,69
1.1378698,0.68484026,0.49032623,-0.11224995,0.4466418,2.698152,1.6630181,pp440_guess_ans0_att19_acc67.csv,440,guess,0,19,67
2.5127773,1.4321867,0.7036631,-0.45234683,-0.41606855,7.811661,1.8439274,pp360_guess_ans0_att20_acc90.csv,360,guess,0,20,90
0.77989954,0.71277314,0.3384384,-0.15225211,0.3712454,2.179335,1.4491831,pp326_guess_ans0_att16_acc63.csv,326,guess,0,16,63
0.8500118,0.7663822,0.5834241,-0.43424317,0.21479043,2.4402416,1.3067614,pp285_control_ans0_att20_acc69.csv,285,control,0,20,69
0.6797151,0.59244597,0.53895533,0.10640973,0.2789302,1.612925,1.2072911,pp128_guess_ans1_att16_acc53.csv,128,guess,1,16,53
0.7178993,0.5239048,0.5638027,-0.31655413,0.1597792,1.1045829,1.3382689,pp347_control_ans0_att18_acc60.csv,347,control,0,18,60
1.0933688,1.0397385,0.48050445,-0.2639226,0.5380882,3.387141,1.5095831,pp46_guess_ans0_att20_acc76.csv,46,guess,0,20,76
0.89524657,0.5083811,0.40316275,-0.4970026,0.4738287,4.0575614,1.5221535,pp251_control_ans0_att20_acc83.csv,251,control,0,20,83
4.6292233,1.4369603,0.7968657,-0.36505547,-0.48337388,7.616145,1.8419207,pp479_control_ans0_att20_acc68.csv,479,control,0,20,68
2.0370378,1.4139085,0.5249357,-0.54741436,0.359464,5.5772176,1.3488194,pp541_control_ans0_att20_acc84.csv,541,control,0,20,84
1.8633883,1.4167169,0.44800365,-0.53937757,0.47798964,7.341388,1.2252939,pp291_control_ans0_att20_acc85.csv,291,control,0,20,85
1.2028965,1.1359826,0.5088316,-0.21476682,0.41420636,1.5867617,1.7133192,pp395_control_ans0_att20_acc65.csv,395,control,0,20,65
