t0,st0,zr,v0,v1,a,alpha,file,pp,cond,ans,att,acc
5.4556375,1.4343834,0.58887273,-0.7552946,0.5663386,6.634484,1.9959273,pp109_control_ans0_att20_acc100.csv,109,control,0,20,100
1.0691876,1.2986699,0.5308421,0.10650083,0.81122434,1.0839149,1.6363274,pp560_guess_ans0_att18_acc62.csv,560,guess,0,18,62
0.72888786,1.4084936,0.4991296,-0.1627287,-0.23267098,5.9052215,1.0195097,pp38_guess_ans0_att13_acc51.csv,38,guess,0,13,51
1.4172888,1.4458673,0.53086996,-0.21569167,0.13816322,7.455706,1.3867147,pp355_control_ans0_att19_acc74.csv,355,control,0,19,74
0.7115404,0.52537304,0.28089643,0.03664058,0.08643508,2.0601978,1.1828066,pp218_guess_ans0_att17_acc52.csv,218,guess,0,17,52
0.7057422,1.4294256,0.4524646,-0.048509117,0.40137348,6.811762,1.0503061,pp375_control_ans0_att19_acc66.csv,375,control,0,19,66
1.3623338,1.4215392,0.45279756,-0.54040486,0.25595093,6.255459,1.1469657,pp74_guess_ans0_att20_acc76.csv,74,guess,0,20,76
0.88492334,0.82847565,0.63159543,-0.26890922,0.5459519,1.7407547,1.6636134,pp500_guess_ans0_att20_acc67.csv,500,guess,0,20,67
1.1979437,1.316109,0.45745572,-0.427204,0.3858236,4.095767,1.6208899,pp168_guess_ans0_att20_acc79.csv,168,guess,0,20,79
0.71989536,1.0043435,0.56165296,-0.07926858,0.5061626,1.4742726,1.4570267,pp401_control_ans0_att18_acc61.csv,401,control,0,18,61
0.6929995,1.3261843,0.72002345,-0.16005838,-0.14411978,2.670218,1.0889667,pp19_control_ans0_att12_acc52.csv,19,control,0,12,52
2.147617,1.417123,0.52668124,-0.35399485,0.49323756,5.608502,1.1884344,pp317_control_ans0_att20_acc73.csv,317,control,0,20,73
5.2819395,1.093638,0.5066583,-0.8613494,0.887319,7.710372,1.6008453,pp509_control_ans0_att20_acc96.csv,509,control,0,20,96
2.1495492,1.4362607,0.5293154,-0.59210706,0.43098605,6.7022095,1.5078417,pp372_guess_ans0_att19_acc89.csv,372,guess,0,19,89
0.7599866,1.4098914,0.39027488,-0.2855182,-0.01565005,7.3176327,1.0783286,pp382_guess_ans0_att19_acc60.csv,382,guess,0,19,60
0.72690815,0.45711103,0.5482868,-0.3446259,0.21283449,2.631188,1.5468986,pp179_control_ans0_att20_acc68.csv,179,control,0,20,68
0.89056104,1.4046915,0.47846138,-0.28840658,0.51060826,5.548974,1.0738333,pp234_guess_ans0_att19_acc72.csv,234,guess,0,19,72
0.89932215,1.2909496,0.5733382,0.36414868,0.9000204,2.2252915,1.3021003,pp272_guess_ans0_att19_acc56.csv,272,guess,0,19,56
0.65277755,0.67448026,0.50996464,0.0015894342,0.25079757,2.6652663,1.0679443,pp534_guess_ans0_att18_acc57.csv,534,guess,0,18,57
0.9585663,0.8242879,0.59332496,-0.42639774,0.30742705,2.1615818,1.3595544,pp78_guess_ans0_att20_acc69.csv,78,guess,0,20,69
1.3117247,1.3857212,0.38828033,-0.22719353,0.44703257,4.042452,1.5259612,pp283_control_ans0_att20_acc78.csv,283,control,0,20,78
0.6198753,1.4203867,0.7317316,-0.33283558,-0.13079545,5.6877537,1.0375391,pp162_guess_ans0_att15_acc60.csv,162,guess,0,15,60
4.285586,1.2592223,0.50110114,-1.1777731,1.5511321,6.098064,1.5120164,pp167_control_ans0_att20_acc96.csv,167,control,0,20,96
0.73952556,0.7022762,0.53994983,-0.10805338,0.36883038,1.7753215,1.3749689,pp387_control_ans0_att20_acc62.csv,387,control,0,20,62
2.0528321,1.3584639,0.4618258,-0.49278915,0.32608798,6.86574,1.2148803,pp66_guess_ans0_att20_acc75.csv,66,guess,0,20,75
0.67960596,0.85836524,0.56710225,-0.42784923,0.71450335,2.775672,1.9069877,pp556_guess_ans0_att20_acc81.csv,556,guess,0,20,81
0.6666693,0.52464473,0.5455893,-0.26605454,0.2975158,1.8425514,1.4906132,pp582_guess_ans0_att20_acc64.csv,582,guess,0,20,64
0.7287257,0.61232376,0.66114736,-0.09595008,0.5313457,2.8195007,1.7829636,pp53_control_ans0_att19_acc68.csv,53,control,0,19,68
2.0386934,1.4174668,0.43721473,-0.27653915,0.31077135,4.9230814,1.2857592,pp570_guess_ans0_att17_acc67.csv,570,guess,0,17,67
0.8390879,0.84291434,0.5001519,-0.13920657,0.2581567,0.79568595,1.6106365,pp169_control_ans0_att17_acc55.csv,169,control,0,17,55
0.7362244,0.6875065,0.6523649,-0.44128212,0.12868607,2.2844486,1.4419417,pp125_control_ans0_att17_acc66.csv,125,control,0,17,66
1.5381081,1.0961821,0.5173818,-0.25082508,0.61203206,3.1494617,1.4582933,pp83_control_ans0_att20_acc75.csv,83,control,0,20,75
0.73493326,1.0209334,0.65361035,-0.16391939,0.27395275,2.957819,1.3568131,pp384_guess_ans0_att19_acc67.csv,384,guess,0,19,67
0.7375391,0.37805215,0.42183995,-0.07829857,0.470985,2.6764019,1.1368191,pp112_guess_ans0_att19_acc64.csv,112,guess,0,19,64
1.3981047,1.1749835,0.48602334,-0.73508143,0.62069863,6.038026,1.3016471,pp373_control_ans0_att20_acc85.csv,373,control,0,20,85
0.698685,0.80754673,0.61072326,-0.30998194,0.3526893,1.9348533,1.8658398,pp311_control_ans0_att20_acc65.csv,311,control,0,20,65
0.77313626,0.43531933,0.46773726,-0.4418914,0.6854712,2.820465,1.8588496,pp398_guess_ans0_att20_acc83.csv,398,guess,0,20,83
2.8879483,1.4428674,0.6923615,-0.45944762,0.23650269,7.826823,1.6146218,pp104_guess_ans0_att20_acc86.csv,104,guess,0,20,86
1.0931952,1.4151332,0.4788045,-0.20613791,0.49772227,4.4031506,1.1221467,pp333_control_ans0_att18_acc68.csv,333,control,0,18,68
0.8672484,0.5992494,0.4554594,-0.39332858,0.44347578,3.6978667,1.8463695,pp537_control_ans0_att20_acc81.csv,537,control,0,20,81
0.72451204,1.4395491,0.33889213,-0.095012434,0.26270902,7.3538303,1.3005847,pp420_guess_ans0_att20_acc68.csv,420,guess,0,20,68
0.6302805,0.63265824,0.50840485,-0.24386804,0.41122666,2.4346335,1.6862787,pp141_control_ans0_att20_acc69.csv,141,control,0,20,69
1.6052945,1.4471077,0.7083677,-0.35726285,-0.13627487,7.661422,1.6258483,pp144_guess_ans0_att17_acc73.csv,144,guess,0,17,73
