t0,st0,zr,v0,v1,a,alpha,file,pp,cond,ans,att,acc
1.0294828,1.3386569,0.37489223,-0.8312566,-0.26883796,2.0764463,0.004762893,pp160_control_ans0_att18_acc59.csv,160,control,0,18,59
2.511697,1.4011573,0.49861938,0.053395648,0.44731098,3.9677043,-0.014840907,pp253_guess_ans0_att19_acc63.csv,253,guess,0,19,63
0.75844085,1.0801224,0.49710956,-0.20696872,0.29527757,3.3217945,-0.012606038,pp436_control_ans0_att20_acc70.csv,436,control,0,20,70
1.1805383,1.0248684,0.44782344,-0.27942806,0.1560323,4.315338,0.0033023965,pp255_guess_ans0_att19_acc76.csv,255,guess,0,19,76
0.78738177,1.3303099,0.53399044,-0.2626609,0.5676082,3.7360778,0.0012901413,pp183_guess_ans0_att19_acc80.csv,183,guess,0,19,80
0.8283335,1.1798401,0.46220547,-0.32396832,0.26372504,3.5653465,0.012670729,pp228_control_ans0_att20_acc76.csv,228,control,0,20,76
0.74878013,0.9225173,0.47002476,0.05531123,0.5790955,2.639553,-0.0033435584,pp271_guess_ans0_att19_acc65.csv,271,guess,0,19,65
1.1238482,0.9801667,0.48583263,-0.19151127,0.48552945,3.2962317,0.002204825,pp237_guess_ans0_att20_acc75.csv,237,guess,0,20,75
1.0031439,1.3381516,0.55190974,-0.39808035,0.2792342,3.2105875,0.012230479,pp335_guess_ans0_att20_acc73.csv,335,guess,0,20,73
1.5100597,1.3771127,0.48969814,-0.3255004,0.21827976,4.601502,0.0017964969,pp279_guess_ans0_att20_acc77.csv,279,guess,0,20,77
4.2140193,1.4131871,0.61545354,-0.5775583,-0.11029618,5.6925654,0.0023598801,pp260_control_ans0_att20_acc91.csv,260,control,0,20,91
0.75206566,1.0301836,0.52864546,-0.40852252,0.15026568,3.1320353,-0.01969826,pp280_control_ans0_att20_acc71.csv,280,control,0,20,71
5.082388,1.4279329,0.52893996,-0.30037823,-0.17967212,6.1094413,-0.0012573629,pp422_control_ans0_att20_acc91.csv,422,control,0,20,91
1.108449,1.2872641,0.46308744,-0.2090183,0.5860224,2.5321634,-0.020352207,pp340_control_ans0_att20_acc72.csv,340,control,0,20,72
2.3163898,1.3812994,0.5240056,-0.2788022,0.5903563,5.2251706,-0.025854226,pp242_control_ans0_att20_acc86.csv,242,control,0,20,86
5.086265,1.318758,0.6721928,-0.73210067,0.4412297,7.1303763,-0.024993056,pp120_control_ans0_att20_acc100.csv,120,control,0,20,100
1.8384676,1.3962829,0.4682345,-0.090127066,0.22263364,4.002559,-0.030449612,pp419_guess_ans0_att20_acc66.csv,419,guess,0,20,66
5.441141,1.4047074,0.5275753,-0.4328936,0.1364839,5.434762,0.025191719,pp303_guess_ans0_att20_acc92.csv,303,guess,0,20,92
0.32049713,1.0749578,0.5324957,-0.27137777,0.05921532,3.2377455,-0.01666281,pp140_control_ans0_att19_acc65.csv,140,control,0,19,65
2.1889026,1.3789308,0.38976586,-0.33446908,0.6413682,4.828183,0.008190733,pp144_control_ans0_att20_acc90.csv,144,control,0,20,90
1.1517866,1.1641114,0.49281767,-0.4297151,0.52372354,3.1679602,-0.0028612348,pp224_control_ans0_att20_acc82.csv,224,control,0,20,82
1.060274,1.1866361,0.41359028,0.07602169,0.5585359,2.553957,0.009169228,pp365_guess_ans0_att20_acc62.csv,365,guess,0,20,62
3.5320125,1.3952091,0.49114951,-0.41949946,0.6603794,5.260386,0.010884237,pp135_guess_ans0_att20_acc92.csv,135,guess,0,20,92
1.1519239,1.3093238,0.5519931,-0.46009547,0.44735205,5.243221,0.0071967635,pp149_guess_ans0_att19_acc92.csv,149,guess,0,19,92
