file,r_alpha_a,r_alpha_t0,r_a_t0,pp,cond,ans,att,acc
pp160_control_ans0_att18_acc59.csv,0.4469525884950897,-0.2834591710943618,-0.6163770147581883,160,control,0,18,59
pp253_guess_ans0_att19_acc63.csv,-0.7694572256932849,-0.2668236888346246,0.12290227425660348,253,guess,0,19,63
pp436_control_ans0_att20_acc70.csv,-0.6690741359616724,-0.4053718399447888,-0.04198621050501457,436,control,0,20,70
pp255_guess_ans0_att19_acc76.csv,-0.8495131737407997,-0.3303888028336377,0.19863485885839696,255,guess,0,19,76
pp183_guess_ans0_att19_acc80.csv,-0.7643800527813515,-0.08359724729073784,-0.19461593182359108,183,guess,0,19,80
pp228_control_ans0_att20_acc76.csv,-0.7108330923747993,-0.4508717282133945,0.09993422744403786,228,control,0,20,76
pp271_guess_ans0_att19_acc65.csv,0.36776486975283146,-0.2903717956551735,-0.5384849202406892,271,guess,0,19,65
pp237_guess_ans0_att20_acc75.csv,-0.6898707131731975,-0.3922181937409668,0.06066911348423559,237,guess,0,20,75
pp335_guess_ans0_att20_acc73.csv,-0.5323383876590302,-0.41312781262323,-0.16179850642375398,335,guess,0,20,73
pp279_guess_ans0_att20_acc77.csv,-0.5692418120410807,-0.29751862297683723,0.0776250284381775,279,guess,0,20,77
pp260_control_ans0_att20_acc91.csv,-0.7407895449918555,-0.17000226490256964,-0.011709250607657467,260,control,0,20,91
pp280_control_ans0_att20_acc71.csv,-0.5101307584863478,-0.40227241654173584,-0.20479683846607527,280,control,0,20,71
pp422_control_ans0_att20_acc91.csv,-0.10542082237886712,-0.0998426359894147,-0.14212668861231723,422,control,0,20,91
pp340_control_ans0_att20_acc72.csv,0.27940496057333086,-0.27616774751620504,-0.6836150986120819,340,control,0,20,72
pp242_control_ans0_att20_acc86.csv,-0.78813617742436,-0.2484163603620547,0.10527358728858076,242,control,0,20,86
pp120_control_ans0_att20_acc100.csv,-0.1784203734259023,-0.11998225056400033,-0.22650534223814714,120,control,0,20,100
pp419_guess_ans0_att20_acc66.csv,-0.39065215307133533,0.03188961776105815,-0.09123415661245327,419,guess,0,20,66
